,var_freq,var_count,var_norm_count,var_cum_norm_count,var_cum_count,var_norm_freq,var_log_freq,var_log_cum_count,cum_norm_y_hat,cum_y_hat
0,1,4196,1.0,1.0,4196,0.0,0.0,3.62283547952152,0.843625119023045,3540.0073743016737
1,2,1733,0.4128724672228844,1.4128724672228845,5929,0.0053475935828877,0.3010299956639812,3.7729814503449637,1.224556932366113,5139.016331275843
2,3,880,0.2095351609058403,1.6224076281287247,6809,0.0106951871657754,0.47712125471966244,3.833083334178343,1.4474906477919376,6075.2232674871775
3,4,541,0.12872467222884387,1.7511323003575687,7350,0.016042780748663103,0.6020599913279624,3.8662873390841948,1.6057501412219608,6740.121842426125
4,5,622,0.14803337306317044,1.8991656734207392,7972,0.0213903743315508,0.6989700043360189,3.90156729002845,1.728577069840867,7256.380807982436
5,6,353,0.08390941597139452,1.9830750893921336,8325,0.026737967914438502,0.7781512503836436,3.9203842421783577,1.8289949788386366,7678.63393622808
6,7,309,0.0734207389749702,2.0564958283671038,8634,0.03208556149732621,0.8450980400142568,3.9362120443202486,1.9139504334600588,8036.022068364946
7,8,215,0.05101311084624553,2.1075089392133495,8849,0.0374331550802139,0.9030899869919435,3.9468941951023266,1.9875896319879303,8345.938506189366
8,9,157,0.037187127532777114,2.1446960667461266,9006,0.0427807486631016,0.9542425094393249,3.954531942626914,2.052586806916679,8619.601655015467
9,10,124,0.02932061978545888,2.1740166865315853,9130,0.0481283422459893,1.0,3.960470777534299,2.110767819061266,8864.67100096201
10,11,110,0.02598331346841478,2.2,9240,0.053475935828877004,1.041392685158225,3.9656719712201065,2.1634349284479413,9086.609524839112
11,12,134,0.031704410011918954,2.231704410011919,9374,0.058823529411764705,1.0791812460476249,3.9719249491841913,2.211549643095168,9289.450752784229
12,13,90,0.021215733015494637,2.252920143027414,9464,0.06417112299465241,1.1139433523068367,3.976074731619874,2.2558421219910088,9476.257701752282
13,14,65,0.015256257449344458,2.2681764004767584,9529,0.06951871657754011,1.146128035678238,3.9790473269479647,2.2968799159232276,9649.41124729794
14,15,196,0.04648390941597139,2.3146603098927296,9725,0.0748663101604278,1.1760912590556813,3.987889609997745,2.3351129334521374,9810.798755831716
15,16,110,0.02598331346841478,2.3406436233611445,9835,0.08021390374331551,1.2041199826559248,3.9927743642553555,2.370903864125239,9961.941710005378
16,17,90,0.021215733015494637,2.3618593563766392,9925,0.0855614973262032,1.2304489213782739,3.9967305154351527,2.404549361652471,10104.084572132115
17,18,115,0.027175208581644815,2.3890345649582843,10040,0.09090909090909091,1.255272505103306,4.001733712809001,2.4362951626510494,10238.258207321152
18,19,111,0.026221692491060787,2.4152562574493452,10151,0.0962566844919786,1.2787536009528289,4.00650882777529,2.466347111981122,10365.326134760808
19,20,91,0.021454112038140644,2.436710369487486,10242,0.10160427807486631,1.3010299956639813,4.010384771498377,2.4948793565718006,10486.018900818704
20,21,82,0.019308700834326578,2.4560190703218128,10324,0.10695187165775401,1.3222192947339193,4.013847995871831,2.5220405378818214,10600.960056414242
21,22,134,0.031704410011918954,2.487723480333732,10458,0.11229946524064172,1.3424226808222062,4.019448637493637,2.5479585423761364,10710.686085267893
22,23,80,0.018831942789034564,2.5065554231227662,10538,0.11764705882352941,1.3617278360175928,4.022758194236769,2.5727441950907632,10815.661898405753
23,24,56,0.013110846245530394,2.5196662693682965,10594,0.12299465240641712,1.380211241711606,4.025059968599579,2.596494166474713,10916.293028361422
24,25,75,0.01764004767580453,2.5373063170441013,10669,0.12834224598930483,1.3979400086720377,4.0281237151288405,2.619293285407366,11012.935332283902
